Data,NAV_1,NAV_2,N_SHARES_1,N_SHARES_2,AVERAGE_PRICE_1,AVERAGE_PRICE_2,TOTAL_PORTFOLIO,TAX_PAID
2018-02-22,108.2718,22.3641,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4893.746087065472,0.0
2018-02-23,108.4667,22.6712,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4942.973907835909,0.0
2018-02-26,108.5542,22.8763,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4975.257668972514,0.0
2018-02-27,108.6026,22.7797,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4961.299008770205,0.0
2018-02-28,108.7294,22.6058,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4936.722412130349,0.0
2018-03-01,108.898,22.3428,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4899.231361514826,0.0
2018-03-02,108.7335,22.1033,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4860.665825447226,0.0
2018-03-05,108.7058,22.2507,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4882.607131339201,0.0
2018-03-06,108.4689,22.2406,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4877.7815745578555,0.0
2018-03-07,108.6776,22.2181,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4877.276899174444,0.0
2018-03-08,108.7831,22.4682,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4916.627218654905,0.0
2018-03-09,108.6518,22.7397,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4955.924674411731,0.0
2018-03-12,108.7508,22.78,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4963.406181855552,0.0
2018-03-13,108.8294,22.5488,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4929.479810048205,0.0
2018-03-14,108.9592,22.5,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4923.8938334673285,0.0
2018-03-15,108.9715,22.5624,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4933.516670696198,0.0
2018-03-16,108.9329,22.6465,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4945.718293000271,0.0
2018-03-19,108.9154,22.3055,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4893.823599928612,0.0
2018-03-20,108.8169,22.4306,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4911.402169989729,0.0
2018-03-21,108.7982,22.4215,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4909.763642809028,0.0
2018-03-22,109.0452,21.9524,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4842.145332531907,0.0
2018-03-23,108.8639,21.4923,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4769.93181772576,0.0
2018-03-26,108.7778,21.6918,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4798.952255007705,0.0
2018-03-27,109.1817,21.6323,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4795.558781073543,0.0
2018-03-28,109.2243,21.6448,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4798.044798478064,0.0
2018-03-29,109.162,21.9276,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4840.013779876112,0.0
2018-04-02,109.1997,21.6082,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4792.158769271577,-34.65433185538802
2018-04-03,109.2527,21.7795,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4702.930665122547,0.0
2018-04-04,109.2468,21.8832,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4707.323659704196,0.0
2018-04-05,109.0713,22.2186,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4716.180488119642,0.0
2018-04-06,109.254,21.867,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4706.8521884448255,0.0
2018-04-09,109.2616,21.8716,34.21334842557506,44.309096792291925,109.50816514995273,22.927960263262484,4707.316031738104,0.0
